artifact_alias,file_path,sha256,file_size_bytes,classification
outputs_reports_v2_3f_r8_deterministic_audit_summary_csv,outputs/reports/v2_3f_r8_deterministic_audit_summary.csv,377fec83fe9304256944f9a245c4569e83af21e47867941e5f09dee60616514b,442,CANONICAL_OUTPUT
outputs_reports_v2_3f_r8_dhi_constant_value_trace_csv,outputs/reports/v2_3f_r8_dhi_constant_value_trace.csv,b32eb7631b89aecc143c1547ea75147ae62330eee226fe7d30e8adf5ef193f72,1800,CANONICAL_OUTPUT
outputs_reports_v2_3f_r8_dhi_d_redundancy_audit_csv,outputs/reports/v2_3f_r8_dhi_d_redundancy_audit.csv,0edf64f1c0308abf4cb1febdcd82816227a7179c41f30c41495fd7fe58d4124f,868,CANONICAL_OUTPUT
outputs_reports_v2_3f_r8_historical_manifest_audit_csv,outputs/reports/v2_3f_r8_historical_manifest_audit.csv,9c3f5142b9d67f063621cbc6656ba252c29dfa11907456f9a0aee1daf3f277ce,1286,CANONICAL_OUTPUT
outputs_reports_v2_3f_r8_native_cell_evidence_csv,outputs/reports/v2_3f_r8_native_cell_evidence.csv,f8e176bbf213fd328ed8214691d80f1ee3dea280b2bbafc59a6ced908ee0aad8,5444,CANONICAL_OUTPUT
outputs_reports_v2_3f_r8_native_mapping_path_reconciliation_csv,outputs/reports/v2_3f_r8_native_mapping_path_reconciliation.csv,98f96b5b25d01d2e9e1c0d942dea045ce62ed23b9e3d47b9bd5e76c9d4f3528f,387,CANONICAL_OUTPUT
outputs_reports_v2_3f_r8_r7_comparison_audit_csv,outputs/reports/v2_3f_r8_r7_comparison_audit.csv,607d33ab08853276313745e4e9e7d38b055f799ef7cb5f64096cd1fd6933ba2f,1023,CANONICAL_OUTPUT
outputs_reports_v2_3f_r8_scenario_pairwise_spearman_csv,outputs/reports/v2_3f_r8_scenario_pairwise_spearman.csv,608ed7cdaf5176f0f7ab4cf1a9b47a15f6af03aee7cf35a7ffe1f48887c505c8,5807,CANONICAL_OUTPUT
outputs_reports_v2_3f_r8_scenario_variable_provenance_csv,outputs/reports/v2_3f_r8_scenario_variable_provenance.csv,42bd1d4ba86191ba323b4cfd52794d0545563bfb0d140660e50ef9fb1f73213a,5756,CANONICAL_OUTPUT
outputs_reports_v2_3f_r8_segment_native_cell_mapping_csv,outputs/reports/v2_3f_r8_segment_native_cell_mapping.csv,59b9b86722d066c26324f40702bfaf80d644ee4df6515cf251d3e3ac0cd1136b,49285,CANONICAL_OUTPUT
outputs_reports_v2_3f_r8_uncertainty_reconciliation_csv,outputs/reports/v2_3f_r8_uncertainty_reconciliation.csv,caafc2aea217d4d20c4d3055c4b63eb1a1a584e227d8bdd6a8b9aa37081ae969,2641,CANONICAL_OUTPUT
outputs_reports_v2_3f_r8_validation_audit_results_csv,outputs/reports/v2_3f_r8_validation_audit_results.csv,820604ed6e8654946f4a1c9b98925006806f24114f356a77919d6f431c53166f,985,CANONICAL_OUTPUT
requirements_txt,requirements.txt,31d438f294c36faaac498ec412059275429a2792e73f2b3205d103738439b6af,457,UI_OR_CONFIGURATION
scripts_generate_v2_3f_r8a1_manifest_py,scripts/generate_v2_3f_r8a1_manifest.py,e9b49cb4d413836aefe9f5c035dafa3e069892995100da3f478a8ed91f045845,2898,GENERATOR
scripts_run_v2_3f_r8_reproducibility_py,scripts/run_v2_3f_r8_reproducibility.py,2afb9122b1e6974b7049b800fb50f64cd0b82be4eff384e3c727bec6229205dd,39508,GENERATOR
scripts_run_v2_3f_r8a1_reproducibility_py,scripts/run_v2_3f_r8a1_reproducibility.py,8172e38124fd58c449f2938bf84408894f63e165c64667e896011829e6c97a95,26472,GENERATOR
scripts_validate_v2_3f_r8a1_manifest_py,scripts/validate_v2_3f_r8a1_manifest.py,65a078395d9aa8bcddeb4d4296bd14ae494901cbd677844aa272f2cbd8711c63,3531,GENERATOR
src_geoslide_boundary_mapper_py,src/geoslide/boundary_mapper.py,d329a92b7aab16747b6b24185f25bde8cd05af6af0cace5da4c76a9644059b3a,5239,REPRODUCTION_DEPENDENCY
src_geoslide_scenario_loader_py,src/geoslide/scenario_loader.py,adb33054a204430796b8fad6cbd3d13b93da99866f5a53cef461f1e707b021f0,5820,REPRODUCTION_DEPENDENCY
tests_test_nh44_v2_3f_r8_verifiable_release_candidate_py,tests/test_nh44_v2_3f_r8_verifiable_release_candidate.py,b5d44732ec4150de408a3a849e45138b4c122a373957ee1e2711ea6b238a76ec,7057,TEST
tests_test_nh44_v2_3f_r8a1_clean_clone_scientific_correction_py,tests/test_nh44_v2_3f_r8a1_clean_clone_scientific_correction.py,7e0657329759ee3c0ff0c6e6a2e0143a9ae595324668a74bfcd04b1a6fc8bc4e,8064,TEST
